"","Location","Treatment","Location Bonferroni-corrected","Treatment Bonferroni-corrected"
"Unknown MST 75",0.589436418845016,0.90944899091954,153.842905318549,237.36618663
"Unknown MST 76",0.883724912824573,0.888493168350485,230.652202247213,231.896716939477
"Unknown MST 77",0.597672572199993,0.546756953856661,155.992541344198,142.703564956589
"Unknown MST 78",0.418367291897021,0.539147783534018,109.193863185122,140.717571502379
"Unknown MST 79",0.707930219535244,0.783145095968107,184.769787298699,204.400870047676
"Asparagine (3TMS)",0.0114642251018108,0.626469158927805,2.99216275157262,163.508450480157
"Adipic acid, 2-amino- (3TMS)",0.150317153401441,0.0940331604379732,39.232777037776,24.542654874311
"Unknown MST 80",0.211955360165903,0.641256494297995,55.3203490033008,167.367945011777
"Glucose, 1,6-anhydro-, beta- (3TMS)",0.547064130315052,0.953609182456218,142.783738012228,248.891996621073
"Unknown MST 81",0.961577427681662,0.772393872612821,250.971708624914,201.594800751946
"Unknown MST 82",0.598707897429469,0.362971300133661,156.262761229091,94.7355093348856
"Glucopyranose [-H20] (4TMS)",0.924321252086074,0.53228016503854,241.247846794465,138.925123075059
"Unknown MST 83",0.379885940654184,0.629021196924477,99.150230510742,164.174532397289
"Unknown MST 84",0.207009426059887,0.783332676853776,54.0294602016306,204.449828658835
"Unknown MST 85",0.0209617805374012,0.688389452737985,5.47102472026171,179.669647164614
"Glycerol-3-phosphate (4TMS)",0.340595374819298,0.0995659991762484,88.8953928278368,25.9867257850008
"Fructose (1MEOX) (5TMS) MP",0.080235176614697,0.363185323813102,20.9413810964359,94.7913695152196
"Unknown MST 86",0.138615650661691,0.798791188229354,36.1786848227013,208.484500127862
"Unknown MST 87",0.183340345819831,0.229720332492395,47.8518302589758,59.957006780515
"Aconitic acid, cis- (3TMS)",0.0264274354885283,0.962588576962724,6.89756066250589,251.235618587271
"Unknown MST 88",0.108338383399853,0.379670981629058,28.2763180673618,99.0941262051841
"Shikimic acid (4TMS)",0.655799392021159,0.130845932624508,171.163641317523,34.1507884149966
"Unknown MST 89",0.0810598170379201,0.832769544363304,21.1566122468971,217.352851078822
"Unknown MST 90",0.324344302573627,0.508781923199158,84.6538629717166,132.79208195498
"Unknown MST 92",0.699744298547599,0.980383379118079,182.633261920923,255.880061949819
"Unknown MST 91",0.830647116401437,0.357573015626298,216.798897380775,93.3265570784639
"Glucose (1MEOX) (5TMS) MP",0.335851424195932,0.458611054045436,87.6572217151383,119.697485105859
"Citric acid (4TMS)",0.110112132577692,0.439831093234038,28.7392666027777,114.795915334084
"Unknown MST 93",0.00710553981587465,0.941685805367415,1.85454589194328,245.779995200895
"Unknown MST 94",0.255724164233729,0.572707827624482,66.7440068650034,149.47674300999
"Glutamine, DL- (3TMS)",0.0167555700384484,0.533887554957895,4.37320378003504,139.34465184401
"Unknown MST 95",0.435771693562162,0.998332594756339,113.736412019724,260.564807231405
"Unknown MST 96",0.826339845344974,0.948789823805325,215.674699635038,247.63414401319
"Unknown MST 97",0.946755711924075,0.944213669316704,247.103240812184,246.43976769166
"Unknown MST 98",0.962184840277033,0.400339134806886,251.130243312306,104.488514184597
"Unknown MST 100",0.400570822910951,0.447099125370348,104.548984779758,116.692871721661
"Unknown MST 99",0.108172954508332,0.926181659728439,28.2331411266746,241.733413189123
"Unknown MST 101",0.89574076861707,0.839529277139647,233.788340609055,219.117141333448
"Unknown MST 102",0.410918095209466,0.662419650807063,107.249622849671,172.891528860644
"Unknown MST 103",0.273105702069096,0.925623539503475,71.2805882400341,241.587743810407
"Unknown MST 104",0.285259423412028,0.892060556392434,74.4527095105393,232.827805218425
"Unknown MST 105",0.587401953041116,0.556957205854383,153.311909743731,145.365830727994
"Unknown MST 106",0.639433829096262,0.402330625122363,166.892229394125,105.008293156937
"Unknown MST 107",0.101673137452662,0.701586400458402,26.5366888751449,183.114050519643
"Unknown MST 108",0.960436974114654,0.480952798957777,250.674050243925,125.52868052798
"Unknown MST 109",0.294497543771379,0.620155848202658,76.8638589243299,161.860676380894
"Unknown MST 110",0.37364970722585,0.691696603083669,97.5225735859469,180.532813404838
"Unknown MST 111",0.536516087876364,0.383198668755581,140.030698935731,100.014852545207
"Unknown MST 112",0.383253068514452,0.45097709361347,100.029050882272,117.705021433116
"Unknown MST 113",0.7950188512126,0.91651221947993,207.499920166489,239.209689284262
