"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Infraspecific name]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Seed origin]"	"Characteristics[Study start]"	"Characteristics[Study duration]"	"Characteristics[Growth facility]"	"Characteristics[Geographic location]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Rooting medium]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Plot size]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sowing density]"	"Parameter Value[pH]"	"Protocol REF"	"Parameter Value[Air humidity]"	"Parameter Value[Daily photon flux]"	"Parameter Value[Length of light period]"	"Parameter Value[Day temperature]"	"Parameter Value[Night temperature]"	"Protocol REF"	"Parameter Value[N before fertilisation]"	"Parameter Value[Type of fertiliser]"	"Parameter Value[Amount of fertiliser]"	"Protocol REF"	"Parameter Value[Irrigation type]"	"Parameter Value[Volume]"	"Parameter Value[Frequency]"	"Protocol REF"	"Parameter Value[Experimental unit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Inoculation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[block]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"source_21"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_20"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_21"
"source_22"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_21"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_22"
"source_23"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_21"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	""	""	"sample_23"
"source_24"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_21"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_24"
"source_25"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_28"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_25"
"source_26"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_28"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	""	""	"sample_26"
"source_27"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_28"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_27"
"source_28"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_40"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_28"
"source_29"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_40"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	""	""	"sample_29"
"source_30"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_40"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_30"
